"SMILES","HMDB.ID","lab.id","b'Metabolite.name'","M","m/z","CCS","adducts","formal.charge","physiological.charge","predicted.logp.ALOGPS","predicted.logp.ChemAxon","logs","pka.strongest.acidic","pka.strongest.basic","acceptor.count","donor.count","polar.surface.area","rotatable.bond.count","refractivity","polarizability"
"CC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O","HMDB00512","L0086","b'N-Acetyl-L-phenylalanine'","207.0895","206.0817","144.1984049","[M-H]","0","-1","1.11","0.9","-2.33","4.02","-1.5","3","2","66.4","4","54.56","21.22"
"[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O","HMDB00518","S0255","b'Chenodeoxycholate'","392.2927","391.2849","201.5128637","[M-H]","0","-1","3.01","3.71","-4.3","4.6","-0.54","4","3","77.76","4","109.27","46.28"
"CC(O)CCCC(O)=O","HMDB00525","S0266","b'5-Hydroxyhexanoic acid'","132.0786","131.0708","125.7961304","[M-H]","0","-1","0.32","0.35","-0.02","4.71","-1.6","3","2","57.53","4","32.82","14.06"
"CCCCCC(O)=O","HMDB00535","S0182","b'Caproic acid'","116.0837","115.0759","128.5378777","[M-H]","0","-1","1.88","1.81","-1.08","5.09","NA","2","1","37.3","4","31.07","13.27"
"O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2NC(CC(O)=O)C(O)=O","HMDB00536","L0317","b'Adenylsuccinic acid'","463.074","462.0662","183.1870874","[M-H]","0","-4","-1.96","-5.3","-2.29","1.22","4.58","14","7","246.68","9","96.18","39.51"
"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O","HMDB00538","L0067","b""Adenosine 5'-triphosphate (ATP)""","506.9957","505.9879","185.7383589","[M-H]","0","-3","-0.84","-6","-2.05","0.9","5","14","7","279.13","8","95.81","38.92"
"C[C@@H](CCC(O)=O)CC(O)=O","HMDB00555","S0149","b'3-Methyladipic acid'","160.0736","159.0658","129.0071485","[M-H]","0","-2","0.65","0.78","-0.98","4.04","NA","4","2","74.6","5","37.29","15.9"
"CN1CC(=O)NC1=N","HMDB00562","S0042","b'Creatinine'","113.0589","112.0511","116.6752614","[M-H]","0","0","-1.65","-1.1","-1.06","13.19","2.96","3","2","56.19","0","38.81","10.74"
"CC1=C(CCC(O)=O)/C2=C/C3=N/C(=C\C4=C(C)C(CCC(O)=O)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(C)=C4CCC(O)=O)/C(CCC(O)=O)=C3C","HMDB00570","S0144","b'Coproporphyrin III'","654.269","653.2612","271.133588","[M-H]","0","-4","2.53","4.95","-4.33","3.52","5.16","10","6","206.56","12","176.26","73.93"
"NC(CCSSCCC(N)C(O)=O)C(O)=O","HMDB00575","S0291","b'DL-Homocystine'","268.0551","289.0293","152.2040967","[M+Na-2H]","0","0","-4.15","-5.3","-1.78","1.8","9.8","6","4","126.64","9","64.38","26.92"
